@relation Tweets

@attribute Class {negative,positive}
@attribute Text STRING

@data
negative,'waiting_VBG for_IN items_NNS to_TO copy_VB in_IN itunes_NNS after_IN everything_NN did_VBD copy_NN goes_VBZ on_IN and_CC on_IN and_CC on_IN come_VBN on_IN USER_NNP what_WP the_DT hell_NN'
negative,'ics_NNS introduces_VBZ facial_JJ recognition_NN to_TO unlock_VB phone_NN however_RB the_DT demo_NN did_VBD n\'t_RB go_VB as_IN planned_VBN URL_NNP google_NNP goof_, up_RB android_CC'
positive,'han_IN mon_JJ dieu_FW le_FW remix_FW de_FW i_FW am_VBP the_DT best_JJS dans_FW dream_NN high_JJ 2_CD je_FW meurs_NNS xddd_.'
negative,'twitter_NN timeline_NN and_CC mentions_VBZ up_IN the_DT shit_NN'
negative,'how_WRB can_MD you_PRP hate_VB on_RP yolo_NNP please_VB tell_VB me_PRP how_WRB living_VBG your_PRP$ 2nd_JJ time_NN is_VBZ'
negative,'for_IN being_VBG the_DT inventor_NN of_IN the_DT computer_NN mouse_NN —_NN why_WRB is_VBZ it_PRP that_IN USER_NNP has_VBZ never_RB made_VBN one_NN that_WDT is_VBZ not_RB a_DT complete_JJ piece_NN of_IN fucking_JJ shit_NN'
positive,'rt_NN USER_NNP dear_JJ google_NN i_NN want_VBP the_DT galaxy_NN nexus_RB now_RB please_VB send_VB it_PRP to_TO me_PRP by_IN email_NN or_CC something_NN i_IN know_VBP you_PRP have_VBP the_DT technology_NN'
negative,'sandy_JJ if_IN you_PRP have_VBP ruined_VBN my_PRP$ chances_NNS to_TO see_VB bruno_NN mars_NNS on_IN monday_NN i_NN will_MD go_VB buck_NN wild_JJ'
positive,'microsoft_JJ bing_NN is_VBZ the_DT new_JJ king_NN of_IN search_NN tipped_VBD google_JJ search_NN URL_.'
positive,'USER_IN you_PRP got_VBD me_PRP i_IN \'m_VBP now_RB invested_VBN macbook_NN pro_FW next_JJ year_NN time_NN to_TO get_VB on_IN selling_VBG more_JJR of_IN my_PRP$ android_NN gear_NN'
positive,'with_IN carriker_NN out_IN golston_NN injured_VBN expect_VBP baker_NN to_TO get_VB more_JJR time_NN at_IN nt_NN with_IN cofield_NN slid_VBD out_IN to_TO end_VB baker_NN can_MD play_VB de_FW as_IN well_RB tho_IN'
negative,'so_RB disappointed_JJ with_IN the_DT movie_NN ghost_NN rider_NN spirit_NN of_IN vengeance_NN so_RB not_RB better_JJR than_IN the_DT 1st_JJ ghost_NN rider_NN movie_NN'
positive,'gutted_VBN about_IN bellamy_NN and_CC smith_NN but_CC we_PRP signed_VBD fulham_NN player_NN on_IN loan_NN until_IN december_NN 2nd_NNP and_CC seen_VBN him_PRP on_IN youtube_NN he_PRP looks_VBZ good_JJ'
positive,'USER_NNP thanks_NNS for_IN fixing_VBG this_DT URL_NN'
positive,'procrastinating_VBG i_FW need_NN to_TO get_VB ready_JJ for_IN the_DT 6th_JJ district_NN chicago_IN police_NN rally_NN against_IN violence_NN chi_NN town_NN cheer_NN will_MD be_VB performing_VBG king_NN dr_NN'
negative,'seriously_RB all_DT of_IN you_PRP people_NNS are_VBP dumb_JJ saying_VBG that_IN all_DT of_IN the_DT schools_NNS in_IN cny_NN are_VBP going_VBG to_TO be_VB closed_VBN tomorrow_NN'
negative,'i_FW would_MD much_RB prefer_VB it_PRP if_IN vermaelen_RB plays_VBZ at_IN cb_NN and_CC is_VBZ the_DT player_NN marking_VBG van_NNP persie_NN he_PRP knows_VBZ his_PRP$ movement_NN more_RBR than_IN anyone_NN else_RB'
negative,'USER_NNP your_PRP$ service_NN experience_NN is_VBZ really_RB fucking_JJ slipping_VBG except_IN for_IN cute_JJ eyelash_NN batting_VBG girlies_NNS USER_NNP store_NN URL_.'
positive,'black_JJ history_NN fact_NN marsalis_NN is_VBZ the_DT 1st_JJ and_CC only_RB artist_NN to_TO win_VB both_DT classical_JJ and_CC jazz_NN grammy_NN awards_NNS in_IN one_CD year_NN and_CC to_TO repeat_VB the_DT next_JJ yr_NN'
positive,'google_JJ icecreamsandwich_JJ totally_RB blowing_VBG apple_NN ishit_NN away_RB'
negative,'if_IN USER_NNP ten_CD did_VBD n\'t_RB like_IN coloccini_NNS being_VBG likened_VBN to_TO bobby_VB moore_NN he_PRP will_MD hate_VB mon_JJ claiming_VBG mcclean_NN and_CC johnson_NN \'class_. \'_\'\' safc_NN nufc_NN'
negative,'love_NN USER_NNP downloads_VBZ 4_CD hours_NNS and_CC i_NN pad_NN now_RB wonky_JJ ripstevejobs_NNS thenonsensepersists_. neednewipadguide_NN fatfuckingchance_NN'
positive,'this_DT goes_VBZ way_NN too_RB fast_RB o_IN its_PRP$ been_VBN already_RB a_DT year_NN that_IN i_PRP saw_VBD avril_JJ lavigne_NN in_IN concert_NN 3_CD october_NNP 25_CD 2011_CD one_CD of_IN the_DT best_JJS day_NN of_IN my_PRP$ life_NN d_CC'
positive,'tomorrow_NN walmart_NN target_NN walgreens_NNS cvs_RB kroger_IN whoever_WP i_FW \'m_VBP coming_VBG for_IN that_DT discounted_VBN candy_NN be_VB ready_JJ for_IN it_PRP'
positive,'i_FW sang_VBD an_DT avril_NN lavigne_NN song_NN for_IN the_DT talent_NN show_NN in_IN the_DT 5th_JJ grade_NN i_IN loved_VBD her_PRP so_RB much_RB'
negative,'is_VBZ the_DT sound_NN of_IN compliments_NNS that_IN sound_NN more_RBR like_IN obituaries_NNS microsoft_JJ'
positive,'yahoo_NN up_IN 4_CD sale_NN again_RB yrs_IN back_RB microsoft_JJ almost_RB bought_VBD it_PRP now_RB glad_JJ it_PRP did_VBD n\'t_RB this_DT could_MD b_SYM deal_NN of_IN the_DT year_NN that_IN dosent_NN happen_VBP'
negative,'monta_NN ellis_NN commits_VBZ his_PRP$ 1st_JJ foul_NN he_PRP \'s_VBZ cold_JJ with_IN 2_CD missed_VBN fts_NNS a_DT foul_NN and_CC a_DT miss_NN to_TO start_VB q3_IN bucks_NNS trail_VBP bulls_NNS 70_CD 60_CD mid_NN q3_.'
negative,'its_PRP$ not_RB that_IN i_PRP \'m_VBP a_DT gsp_NN fan_NN i_NN just_RB hate_VBP nick_NN diaz_NN ca_MD n\'t_RB wait_VB for_IN february_NN'
negative,'i_FW still_RB did_VBD n\'t_RB watch_VB degrassi_NNS from_IN friday_NN what_WP am_VBP i_VBN doing_VBG with_IN my_PRP$ life_NN apparently_RB not_RB much_RB'
positive,'USER_NNP david_NN guetta_NN is_VBZ coming_VBG to_TO fort_VB canning_NN at_IN 11_CD october_NN 3_CD omg_NN omg_NN omg_NN 3_CD will_MD b_SYM going_VBG d_VBN'
negative,'USER_NNP itunes_NNPS is_VBZ the_DT worst_JJS program_NN ever_RB for_IN such_JJ a_DT great_JJ phone_NN you_PRP make_VBP some_DT awful_JJ software_NN'
positive,'with_IN j_NN davlar_NN 11th_IN main_JJ rivals_NNS are_VBP team_NN poland_CC hopefully_RB we_PRP an_DT make_VBP it_PRP a_DT successful_JJ end_NN to_TO a_DT tough_JJ week_NN of_IN training_NN tomorrow_NN'
positive,'pretty_RB good_JJ thursday_IN night_NN with_IN USER_NNP if_IN only_RB rivers_NNS would_MD stop_VB sucking_VBG so_RB bad_JJ USER_NNP stadium_NN URL_.'
negative,'omg_NN mali_VBP music_NN is_VBZ going_VBG to_TO be_VB in_IN philly_RB tomorrow_NN at_IN the_DT liacouras_NNS center_NN performing_VBG at_IN the_DT kingsmen_NNS tour_NN i_NN \'m_VBP so_RB sad_JJ'
negative,'microsoft_JJ dynamics_NNS nav_NN is_VBZ a_DT cesspit_NN extreme_JJ consultingware_NN to_TO be_VB avoided_VBN'
positive,'spirit_NN friday_NN fill_NN the_DT halls_NNS with_IN school_NN colors_NNS and_CC enjoy_VB a_DT dress_NN down_IN day_NN no_DT pj_NN yoga_NN pants_NNS or_CC flip_VB flops_RB backless_JJ shoes_NNS you_PRP are_VBP poland_.'
positive,'like_IN sweet_JJ you_PRP happy_JJ valentines_NNS day_NN when_WRB it_PRP \'s_VBZ july_RB i_PRP \'ll_MD meet_VB you_PRP at_IN the_DT shop_NN every_DT tuesday_NN'
positive,'just_RB caught_VBD the_DT last_JJ few_JJ minutes_NNS of_IN USER_NNP nilsen_NN \'s_POS track_NN endymion_NN on_IN USER_NNP great_JJ track_NN to_TO get_VB ready_JJ for_IN work_NN with_IN its_PRP$ my_UH friday_NN'
positive,'sorry_JJ apple_NN google_NN and_CC samsung_NN just_RB made_VBD you_PRP look_VB bad_JJ android_CC is_VBZ king_NN'
negative,'dear_JJ USER_NNP why_WRB did_VBD all_DT my_PRP$ pdfs_NNS and_CC epub_NN files_NNS disappear_VBP from_IN ibooks_NNS in_IN my_PRP$ iphone_NN post_NN ios5_IN upgrade_NN this_DT hurts_VBZ 3gs_DT needsomethingtoread_NN'
positive,'microsoft_JJ stores_NNS offer_VBP up_RP free_JJ windows_NNS phone_VBP 7_CD devices_NNS microsoft_JJ microsoftstores_NNS URL_.'
negative,'microsoft_JJ just_RB bought_VBN skype_NN officially_RB so_RB how_WRB \'s_POS the_DT future_NN of_IN skype_NN on_IN any_DT other_JJ devices_NNS operating_VBG systems_NNS'
negative,'holy_JJ drunk_JJ wine_NN johnny_NN walker_NN and_CC beer_NN are_VBP not_RB a_DT great_JJ combo_NN esp_VBP on_IN a_DT thursday_JJ night_NN to_TO many_JJ emotions_NNS too_RB much_RB sadness_NN calling_VBG it_PRP a_DT night_NN'
negative,'rugby_NN tonight_RB and_CC it_PRP \'s_VBZ like_IN freezing_VBG omg_NN i_FW may_MD die_VB'
negative,'apple_NN ceo_NN \'extremely_VBZ sorry_JJ \'_\'\' for_IN problems_NNS with_IN new_JJ maps_NNS source_NN URL_JJ sunday_NN september_NN 30_CD URL_.'
positive,'hello_UH from_IN dublin_NN tomorrow_NN we_PRP \'re_VBP playing_VBG at_IN the_DT button_NN factory_NN onstage_NN at_IN 9_CD but_CC if_IN you_PRP come_VBP for_IN USER_NNP jp_NN at_IN 8_CD you_PRP wo_MD n\'t_RB regret_VB it_PRP'
negative,'fuck_VB halloween_IN fuck_JJ thanksgiving_, fuck_VB my_PRP$ birthday_NN fuck_NN christmas_VBD the_DT new_JJ year_NN valentines_NNS st_JJ patrick_NN \'s_POS april_JJ fools_NNS fuck_VB all_DT of_IN that_WDT'
positive,'apparently_RB tomorrow_NN is_VBZ nation_NN kissing_VBG day_NN ladies_NNS you_PRP \'re_VBP more_RBR than_IN welcome_JJ to_TO stop_VB by_IN'
positive,'calling_VBG all_DT marketing_NN executives_NNS in_IN houston_NN sign_NN up_IN for_IN google_JJ training_NN URL_IN i_NN ca_MD n\'t_RB wait_VB to_TO be_VB there_RB for_IN the_DT week_NN'
negative,'9_CD \%_NN now_RB on_IN my_PRP$ second_JJ full_JJ charge_NN of_IN the_DT day_NN pissed_VBD USER_NNP'
negative,'david_JJ guetta_NN \'s_POS playing_VBG with_IN alesso_NN at_IN fort_NN canning_NN 8th_JJ oct_NN only_RB want_VBP to_TO hear_VB alesso_NN leh_RB'
positive,'just_RB registered_VBN as_IN an_DT USER_NNP developer_NN here_RB \'s_VBZ hoping_VBG i_FW can_MD actually_RB do_VB it_PRP any_DT help_NN greatly_RB appreciated_VBN'
positive,'video_JJ google_NN wallet_NN see_VBP the_DT wow_JJ effect_NN URL_.'
positive,'rugby_NN is_VBZ a_DT great_JJ winter_NN sport_NN for_IN gaa_JJ ladies_NNS looking_VBG to_TO keep_VB up_RP there_EX fitness_NN come_VBN along_RB friday_IN to_TO kilkenny_VB rfc_VBN at_IN 7_CD to_TO try_VB it_PRP out_IN'
negative,'leading_VBG off_RP marathon_NN on_IN nets_NNS knicks_NNS off_IN which_WDT one_NN does_VBZ n\'t_RB belong_VB in_IN nyc_NN post_NN sandy_JJ URL_NN'
positive,'loved_VBD the_DT hair_NN style_NN from_IN friday_NN \'s_POS jason_NN wu_VBD nyfw_RB show_VB we_PRP \'re_VBP giving_VBG you_PRP the_DT step_NN by_IN step_NN to_TO recreate_VB the_DT look_NN URL_.'
positive,'damn_JJ i_NN would_MD totally_RB buy_VB the_DT sun_NN for_IN this_DT USER_NNP future_NN of_IN news_NN again_RB free_JJ hawkeye_NN lego_NN with_IN murdoch_NN \'s_POS sun_NN URL_.'
negative,'mark_NN martin_NN by_IN far_RB the_DT most_RBS unluckiest_JJS nascar_JJ driver_NN of_IN all_DT time_NN 2nd_NNP 5_CD times_NNS in_IN points_NNS the_DT heartbreaking_NN 07_CD daytona_NN 500_CD'
negative,'clarence_NN thomas_NNS must_MD have_VB designed_VBN the_DT new_JJ osx_NN lion_NN tossing_VBG decades_NNS of_IN workflow_JJ standards_NNS USER_NNP bring_VBP back_RB “save_JJ as”_NN autosavesucks_NNS'
negative,'USER_NNP ios5_VBD gm_VBN on_IN ipad1_NN is_VBZ very_RB slow_JJ wash_NN better_RB on_IN beta7_JJR 8_CD solve_VB this_DT problem_NN or_CC give_VB me_PRP the_DT ipad2_NN'
negative,'rt_NN USER_NNP dear_JJ google_NN samsung_NN learn_VBP some_DT presentation_NN 101_CD first_JJ please_VBP'
positive,'USER_NNP since_IN you_PRP \'re_VBP in_IN asia_DT good_JJ morning_NN xo_NN ca_MD n\'t_RB wait_VB for_IN november_NN 11_CD'
positive,'just_RB did_VBD spartacus_JJ 2_CD 0_CD and_CC sauna_NNS imma_. be_VB sore_JJ tomorrow_NN but_CC so_RB worth_JJ it_PRP'
positive,'maybe_RB apple_NN could_MD use_VB some_DT of_IN it_PRP \'s_VBZ billions_NNS to_TO do_VB some_DT good_JJ in_IN the_DT world_NN oh_UH wait_VB that_DT \'s_VBZ what_WP microsoft_NN does_VBZ'
negative,'wtf_NN USER_NNP 64_CD pages_NNS for_IN the_DT new_JJ terms_NNS conditions_NNS when_WRB u_PRP update_NN ur_NN apps_NNS from_IN the_DT itunes_NNPS store_VBP do_VBP u_PRP really_RB think_VBP we_PRP \'ll_MD read_VB em_PRP really_RB'
positive,'safe_JJ and_CC sound_JJ at_IN flibs_NNS we_PRP \'ll_MD be_VB all_DT over_IN the_DT docks_NNS tomorrow_NN'
positive,'every_DT thursday_IN i_PRP fall_VBP more_JJR and_CC more_JJR in_IN love_NN with_IN maya_NN rudolph_NN'
negative,'also_RB USER_NNP do_VBP n\'t_RB forget_VB USER_NNP stop_VB closing_VBG the_DT app_NN store_NN after_IN each_DT bloody_JJ purchase_NN'
positive,'USER_NNP loving_VBG the_DT new_JJ ios5_NN upgrade_NN for_IN the_DT iphone_NN'
negative,'i_PRP ca_MD n\'t_RB believe_VB my_PRP$ cold_NN is_VBZ coming_VBG back_RB stress_NN and_CC sugar_NN are_VBP killing_VBG my_PRP$ immune_JJ system_NN'
negative,'nothing_NN says_VBZ \'fuck_, you_PRP \'_\'\' to_TO super_VB rugby_JJ than_IN when_WRB ep_NN kings_NNS get_VBP relegated_VBN tomorrow_NN i_IN \'m_VBP waiting_VBG'
negative,'i_PRP want_VB to_TO celebrate_VB thanksgiving_DT seems_VBZ like_IN an_DT amazing_JJ holiday_NN'
positive,'i_PRP must_MD admit_VB USER_NNP has_VBZ made_VBN me_PRP a_DT very_RB happy_JJ camper_NN i_PRP have_VBP text_NN tones_NNS now_RB lol_JJ ring_NN tone_NN makemeproud_NN drakes_VBZ vers_NNS text_NN tone_NN nicki_NN \'s_POS'
negative,'i_PRP just_RB want_VBP to_TO use_VB this_DT moment_NN to_TO thank_VB USER_NNP for_IN existing_VBG and_CC stuff_NN'
positive,'one_CD more_JJR picture_NN of_IN the_DT services_NNS provided_VBN in_IN the_DT cloud_NN i_NN am_VBP in_IN love_NN with_IN microsoft_JJ URL_NN'
positive,'USER_NNP liam_NN payne_NN saturday_NN i_VBZ buy_VB my_PRP$ ticket_NN for_IN the_DT tmhtour_NN in_IN belgium_NN i_NN \'m_VBP so_RB happy_JJ'
negative,'this_DT is_VBZ the_DT 1st_JJ halloween_IN my_PRP$ kids_NNS did_VBD n\'t_RB go_VB trick_NN or_CC treating_VBG kinda_RB sad_JJ they_PRP are_VBP too_RB old_JJ for_IN it_PRP now_RB cuz_VBD i_PRP URL_.'
positive,'USER_NNP i_NN \'m_VBP pretty_RB excited_JJ to_TO have_VB wolters_NNS on_IN my_PRP$ team_NN'
positive,'i_PRP think_VBP i_IN should_MD work_VB for_IN melaleucathewellnesscompany_NN probably_RB the_DT best_JJS company_NN to_TO work_VB for_IN oh_UH and_CC google_NN'
positive,'that_WDT was_VBD a_DT good_JJ one_CD commercial_JJ microsoft_NN'
positive,'google_NN finally_RB all_DT searches_NNS for_IN logged_VBN in_IN users_NNS will_MD be_VB on_IN https_NNS URL_.'
negative,'i_PRP hate_VBP you_PRP USER_NNP for_IN not_RB sending_VBG toledo_TO oh_UH USER_NNP any_DT USER_NNP for_IN USER_NNP even_RB after_IN i_DT pre_NN ordered_VBN'
negative,'if_IN USER_NNP does_VBZ not_RB resolve_VB the_DT siri_NN network_NN issues_NNS they_PRP will_MD need_VB to_TO rename_VB a_DT great_JJ product_NN to_TO sorri_NN who_WP else_RB is_VBZ having_VBG issues_NNS'
negative,'team_NN rita_VBD oh_UH you_PRP fancy_JJ huh_JJ 2nd_JJ place_NN trophies_NNS eatin\'_NN at_IN the_DT blackwell_NN 2nd_CD place_NN trophies_NNS eatin\'_NN at_IN the_DT blackwell_NN oh_UH you_PRP fancy_VB huh_UH'
negative,'terrible_JJ customer_NN service_NN at_IN los_NNS gatos_NNS USER_NNP why_WRB do_VBP i_PRP have_VB to_TO pay_VB 199_CD for_IN a_DT bad_JJ home_NN button_NN on_IN my_PRP$ iphone_NN'
positive,'ios5_PRP update_VB submitted_VBN to_TO USER_NNP thanks_NNS for_IN all_DT the_DT support_NN'
positive,'dear_JJ google_NN i_NN want_VBP the_DT galaxy_NN nexus_RB now_RB please_VB send_VB it_PRP to_TO me_PRP by_IN email_NN or_CC something_NN i_IN know_VBP you_PRP have_VBP the_DT technology_NN'
positive,'USER_NNP well_RB you_PRP won_VBD congrats_NNS my_PRP$ week_NN of_IN no_DT sleep_NN did_VBD n\'t_RB work_VB to_TO your_PRP$ excellent_JJ friends_NNS u_PRP have_VBP mccurdiansfoughtfortheiridol_NN'
negative,'rt_NN USER_NNP USER_NNP USER_NNP USER_NNP both_DT of_IN them_PRP are_VBP bs_NNS how_WRB do_VBP u_PRP tell_VB me_PRP go_VB between_IN a_DT certain_JJ time_NN only_RB and_CC the_DT muh_NN fuh_NN is_VBZ closed_VBN'
positive,'kendrick_NN perkins_NNS led_VBD the_DT league_NN for_IN the_DT 4th_JJ year_NN in_IN a_DT row_NN in_IN spm_JJ scowls_NNS per_IN minute_NN literally_RB laughed_VBD out_RB loud_RB'
negative,'lmfao_NN dies_VBZ omg_JJ stop_NN “USER_NNP jacob7_CD fuk_NN demi_FW slutty_JJ ass_NN let_VB my_PRP$ manz_NN david_NN corey_NN through_IN ”_NN'
negative,'microsoft_JJ lync_NN crash_NN issue_NN on_IN mac_NN os_NNS x_SYM 10_CD 7_CD 2_CD fixed_VBN URL_.'
negative,'samsung_JJ seeks_VBZ iphone_NN 4s_VBG ban_NN in_IN japan_NN and_CC australia_JJ patent_NN war_NN intensifies_VBZ with_IN injunction_NN sought_VBN against_IN USER_NNP URL_.'
negative,'did_VBD you_PRP just_RB tell_VB me_PRP lucas_IN scott_VBG leaves_NNS in_IN the_DT 6th_JJ season_NN of_IN tree_NN hill_NN with_IN peyton_NN to_TO travel_VB the_DT wolrd_NN youjustruinedmylife_NN fuckyou_.'
negative,'URL_NNP german_NN federal_JJ trojan_NN \'s_POS got_VBD a_DT bigbrother_JJ gov_NN spying_VBG on_IN its_PRP$ people_NNS microsoft_JJ \'s_POS 32bit_NN 64bit_VBD windows_NNS is_VBZ target_NN'
negative,'oh_UH and_CC happy_JJ halloween_NN halloween_IN pumpkin_NN awesome_JJ pic_NN twitter_NN com_NN 4up8o5qq_.'
negative,'i_PRP have_VBP n\'t_RB bought_VBN my_PRP$ kit_NN and_CC ncs_NNS is_VBZ tomorrow_RB my_PRP$ frame_NN of_IN mind_NN right_NN now_RB is_VBZ just_RB leaveityeah_VBG'
positive,'me_PRP personally_RB do_VBP n\'t_RB see_VB grammy_JJ playing_VBG afl_RB again_RB still_RB 28_CD but_CC i_RB think_VBP he_PRP \'ll_MD turn_VB to_TO something_NN else_RB now_RB best_JJS of_IN luck_NN with_IN what_WP may_MD be_VB next_JJ'
positive,'rt_NN USER_IN another_DT great_JJ james_NNS stewart_JJ story_NN in_IN today_NN \'s_POS ny_NN times_NNS about_IN importance_NN of_IN architecture_NN in_IN USER_NNP retail_JJ success_NN URL_.'
negative,'friday_JJ night_NN knicks_NNS vs_IN heat_NN if_IN you_PRP not_RB watching_VBG the_DT game_NN wit_NN me_PRP dont_VBP fuck_VB with_IN me_PRP lbs_NNS i_VBP be_VB engaged_VBN like_IN a_DT mf_NN knicksnation_NN teammelo_NN'
negative,'it_PRP \'s_VBZ ridiculous_JJ how_WRB sony_NN actually_RB still_RB does_VBZ n\'t_RB know_VB how_WRB much_JJ the_DT tickets_NNS cost_VBP they_PRP go_VB on_IN sale_NN tomorrow_NN do_VBP you_PRP have_VB a_DT brain_NN'
negative,'relax_VB on_IN forbath_NN just_RB had_VBD a_DT text_NN and_CC trying_VBG to_TO get_VB confirmation_NN until_IN conformation_NN comes_VBZ cundiff_RB still_RB the_DT kicker_NN'
positive,'google_JJ ics_NNS looks_VBZ awesome_JJ ca_MD n\'t_RB wait_VB til_IN it_PRP gets_VBZ ported_VBN over_IN to_TO my_PRP$ evo_JJ face_NN unlock_NN android_CC google_NN'
positive,'today_NN july_RB 28th_JJ \'12_. is_VBZ milk_NN chocolate_NN day_NN bring_VB it_PRP on_IN milkchocolateday_NN URL_.'
negative,'if_IN jacob_NN tweets_NNS one_CD more_JJR time_NN tonight_RB i_IN \'m_VBP beating_VBG his_PRP$ ass_NN in_IN school_NN tomorrow_NN dontbethatguy_NN'
negative,'anyway_RB sorry_JJ for_IN these_DT random_JJ tweets_NNS about_IN the_DT finder_NN unfollow_NN for_IN the_DT night_NN i_PRP \'ll_MD be_VB back_RB to_TO normal_JJ sports_NNS stuff_NN tomorrow_NN'
positive,'3000th_JJ tweet_NN dedicated_VBN to_TO andy_JJ carroll_NN and_CC west_NN ham_NN brilliant_JJ start_NN to_TO the_DT season_NN now_RB continue_VBP it_PRP with_IN wigan_NN on_IN saturday_NN'
negative,'fail_VB on_IN the_DT face_NN recognition_NN not_RB working_VBG google_NN samsung_NN'
negative,'time_NN for_IN james_NNS harden_RB 34_CD points_NNS to_TO step_VB aside_RB and_CC let_VB jeremy_NN lin_NN takeover_NN the_DT 4th_JJ linsanity_NN sarcasm_NN'
positive,'all_PDT this_DT talk_NN about_IN about_IN how_WRB good_JJ icecreamsandwich_JJ looks_NNS is_VBZ making_VBG me_PRP hungry_JJ google_NN omnomnomnom_NN'
negative,'noel_NN gallagher_NN musicians_NNS are_VBP fucking_JJ idiots_NNS yeah_NN brian_NN may_MD he_PRP \'s_VBZ an_DT idiot_NN an_DT idiot_NN who_WP just_RB so_RB happens_VBZ to_TO be_VB a_DT professor_NN'
positive,'jr_NN got_VBD selected_VBN to_TO the_DT pro_JJ bowl_NN team_NN and_CC the_DT season_NN not_RB over_IN yet_RB one_CD more_JJR game_NN saturday_NN than_IN playoffs_NNS'
positive,'i_PRP liked_VBD a_DT USER_NNP video_NN URL_IN anonymous_JJ remember_VBP remember_VB the_DT 5th_JJ of_IN november_NN'
positive,'text_NN from_IN my_PRP$ dad_NN you_PRP like_VBP charles_NNS dickens_VBZ 1_CD obvs_JJ looking_VBG at_IN my_PRP$ amazon_JJ wish_NN list_VBP too_RB late_JJ for_IN sunday_NN 2_CD why_WRB th_DT surprise_NN'
negative,'just_RB like_IN to_TO take_VB this_DT moment_NN to_TO appreciate_VB how_WRB fucking_JJ loud_JJ the_DT perth_JJ crowd_NN at_IN USER_NNP was_VBD tonight_RB ca_MD n\'t_RB imagine_VB it_PRP getting_VBG better_RBR'
negative,'ouch_IN microsoft_JJ azure_NN fail_VB URL_.'
negative,'USER_NNP USER_NNP most_JJS of_IN mine_PRP are_VBP gone_VBN too_RB not_RB recovered_VBN after_IN i_PRP saved_VBD them_PRP b4_IN i_PRP upgraded_VBD my_PRP$ iphone_NN soooo_RB pissed_VBN'
negative,'carmine_NN lupretazzi_NN'
negative,'man_NN twitter_NN is_VBZ gettin_VBG boring_VBG'
positive,'hoping_VBG to_TO look_VB fit_RB tomorrow_RB on_IN the_DT jeremy_NN kyle_NN show_NN itvfashion_IN'
positive,twitter_VBG
negative,'interview_NN at_IN kfc_DT tomorrow_NN how_WRB the_DT fuck_JJ i_NN \'m_VBP going_VBG to_TO understand_VB a_DT single_JJ work_NN said_VBD idek_NN i_RB hardly_RB understood_VBD the_DT interview_NN set_VBN up_IN'
negative,'golf_NN capsules_NNS nick_NN watney_NN missed_VBD a_DT chance_NN for_IN a_DT 59_CD on_IN sunday_NN in_IN his_PRP$ cimb_JJ classic_JJ victory_NN closing_NN with_IN a_DT course_NN URL_.'
positive,'despite_IN my_PRP$ late_JJ flight_NN out_IN of_IN lga_NN i_NN have_VBP arrived_VBN in_IN time_NN to_TO snrk_VB on_IN the_DT debate_NN thanks_NNS delta_JJ prssa_NN'
negative,'USER_NNP new_JJ twitter_NN pic_NN is_VBZ ?_JJ ?_NN in_IN ny_NN right_RB now_RB so_RB get_VB USER_NNP leperaxo_NN and_CC let_VB \'s_PRP chill_NN soon_RB'
negative,'do_VBP n\'t_RB think_VB chelsea_NN should_MD appeal_VB for_IN torres_NNS \'_POS red_JJ card_NN let_VB sturridge_NN play_NN tomorrow_NN it_PRP \'s_VBZ the_DT carling_NN cup_NN not_RB pl_NN'
negative,'USER_NNP when_WRB are_VBP you_PRP home_NN how_WRB \'s_POS the_DT holiday_NN x_NN'
positive,'having_VBG to_TO read_VB charles_NNS dickens_VBZ for_IN homework_NN may_MD be_VB the_DT greatest_JJS thing_NN ever_RB'
positive,'romney_NN \'s_POS great_JJ line_NN about_IN trickle_NN down_IN government_NN was_VBD coined_VBN by_IN gov_NN mitch_NN daniels_NNS as_RB early_RB as_IN january_NN mitt_NN uses_VBZ good_JJ sources_NNS'
negative,'the_DT new_JJ bruno_NN mars_NNS song_NN is_VBZ wicked_JJ it_PRP sounds_VBZ like_IN a_DT cross_NN between_IN the_DT police_NN and_CC michael_NN jackson_NN i_NN may_MD or_CC may_MD not_RB play_VB it_PRP 14_CD times_NNS day_NN'
negative,'hey_UH USER_NNP now_RB i_RB have_VBP ios5_IN my_PRP$ iphone_NN does_VBZ n\'t_RB include_VB songs_NNS that_WDT are_VBP on_IN compilation_NN albums_NNS under_IN the_DT artist_NN \'s_POS name_NN whaddupwitdat_.'
negative,'madison_PRP do_VBP n\'t_RB wipe_VB your_PRP$ black_JJ lines_NNS off_IN it_PRP \'s_VBZ like_IN ash_NN wednesday_IN you_PRP do_VBP n\'t_RB wipe_VB that_DT shit_NN off_IN'
positive,'last_JJ night_NN \'s_POS dream_NN was_VBD ace_NN but_CC it_PRP \'ll_MD never_RB happen_VB nonono_RB i_RB want_VB to_TO see_VB spector_NN'
negative,'rt_NN USER_NNP retweets_VBZ section_NN of_IN my_PRP$ twitter_NN account_NN has_VBZ not_RB been_VBN working_VBG for_IN 17_CD hours_NNS is_VBZ everyone_NN else_RB having_VBG this_DT problem_NN rt_NN rts_NNS'
negative,'acta_NN on_IN choo_NN getting_VBG thrown_VBN out_RP at_IN 2b_JJ with_IN 1_CD out_RB and_CC down_RB by_IN 2_CD in_IN 9th_JJ you_PRP have_VBP give_VB the_DT tying_VBG run_NN a_DT chance_NN to_TO come_VB to_TO the_DT plate_NN'
